Location,Room,Number_of_guest,bed_type,Number_of_bed,Number_of_bath,wifi,Air_cond,Kitchen,Self_check_in,Rating,Price_in_MYR,Price_in_MYR_per_guest
Kuala Lumpur,Entire rental unit,3, 1 bedroom,1.0,1.5,True,True,True,True,4.72,189.0,63.0
Kuala Lumpur,Entire rental unit,4, 1 bedroom,1.0,1,True,True,True,True,4.92,121.5,30.375
Kuala Lumpur,Entire rental unit,6, 1 bedroom,3.0,1,True,True,True,True,4.7,76.5,12.75
Kuala Lumpur,Entire condominium (condo),4, 1 bedroom,1.0,1,True,True,True,True,4.69,144.0,36.0
Kuala Lumpur,Entire serviced apartment,2, Studio,1.0,1,True,True,False,False,4.68,130.5,65.25
Kuala Lumpur,Entire condominium (condo),4, 1 bedroom,1.0,1,True,True,True,True,4.83,175.5,43.875
Kuala Lumpur,Entire serviced apartment,4, Studio,1.0,1,True,True,True,True,5.0,85.5,21.375
Kuala Lumpur,Entire rental unit,3, Studio,1.0,1,True,True,True,True,4.61,162.0,54.0
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.86,103.5,25.875
Kuala Lumpur,Entire condominium (condo),4, 1 bedroom,2.0,1,True,True,True,True,4.78,135.0,33.75
Kuala Lumpur,Entire serviced apartment,2, 1 bedroom,1.0,1,True,True,True,True,4.8,153.0,76.5
Federal Territory of Kuala Lumpur,Entire rental unit,4, 1 bedroom,1.0,1,True,True,True,True,4.9,112.5,28.125
Federal Territory of Kuala Lumpur,Entire rental unit,3, 1 bedroom,1.0,1.5,True,True,True,True,4.88,126.0,42.0
Kuala Lumpur,Entire rental unit,4, 1 bedroom,1.0,1,True,True,True,True,4.95,112.5,28.125
Federal Territory of Kuala Lumpur,Entire serviced apartment,4, Studio,2.0,1,True,True,True,True,4.79,112.5,28.125
Kuala Lumpur,Entire rental unit,5, 1 bedroom,1.0,1,True,True,True,True,4.46,81.0,16.2
Kuala Lumpur,Entire condominium (condo),2, Studio,1.0,1,True,True,True,False,4.48,90.0,45.0
Kuala Lumpur,Entire condominium (condo),3, Studio,1.0,1,True,True,True,True,4.9,148.5,49.5
Kuala Lumpur,Entire rental unit,2, 1 bedroom,1.0,1.5,True,True,True,True,4.56,130.5,65.25
Kuala Lumpur,Entire condominium (condo),4, 1 bedroom,1.0,1,True,True,True,True,5.0,90.0,22.5
Kuala Lumpur,Entire rental unit,4, Studio,2.0,1,True,True,True,True,4.86,94.5,23.625
Kuala Lumpur,Entire rental unit,3, 1 bedroom,1.0,1,True,True,False,True,4.69,45.0,15.0
Kuala Lumpur,Entire condominium (condo),3, 1 bedroom,2.0,1,True,True,True,True,4.8,94.5,31.5
Federal Territory of Kuala Lumpur,Entire rental unit,3, 1 bedroom,2.0,1,True,True,True,True,4.85,108.0,36.0
Kuala Lumpur,Entire loft,4, 1 bedroom,2.0,1,True,True,False,True,4.69,49.5,12.375
Kuala Lumpur,Entire rental unit,3, Studio,2.0,1,True,True,True,True,4.93,58.5,19.5
Kuala Lumpur,Entire rental unit,4, Studio,1.0,1,True,True,True,True,4.75,90.0,22.5
Kuala Lumpur,Entire rental unit,2, Studio,1.0,1,True,True,True,True,4.77,117.0,58.5
Kuala Lumpur,Entire rental unit,3, Studio,1.0,1,True,True,True,True,4.84,171.0,57.0
