Title,Company Name,Location,Salary,Rating,Descriptions
BUSINESS ANALYST - MARINE SOLUTIONS,ALTUS OIL & GAS MALAYSIA SDN BHD,Kuala Lumpur,"RM 5,000 - RM 5,999 a month",4.5,Responsible for collecting market data and evaluating information from diverse market sources. Analyzing qualitative & quantitative information to support and…
Malaysia | Real Time Analyst (RTA) | BPO - Call Center,Majorel,Kuala Lumpur,,,"Strong analytical skills, understanding complex reporting and data transformations from multiple sources. Monitor agent activity in real time using Aspect Real…"
Digital Technical Analyst,Rizing,Kuala Lumpur,,,We also incubate the latesttechnologies which are new to Malaysia market through proof- of-concepts and co-innovation.
Credit Risk Analyst,Luxoft,Kuala Lumpur,,,"Good understanding of Value at Risk (VaR), Historical Simulation, Stress Testing, Back Testing, usage of risk factor/market data for Scenario Generation."
"Capabilities & Insights Analyst – Telecom, Media & Technolog...",McKinsey & Company,Kuala Lumpur,,4.3,"In this role, you will conduct primary and secondary research leveraging proprietary and third-party data sources."
"Analyst, Risk",Standard Chartered,Kuala Lumpur,,4.1,Ensure robust MIS data quality. Support senior management review of portfolio performance and provide additional data/analysis as requested.
Customer Support Analyst,Starweb,Kuala Lumpur,,,"General ledger / Cost Centre / Company Code E-Form Education Procedure / Policy. SAP Buyer, SAP Logistic, SAP Warehouse / Assembly, SAP Accounts Payable, SAP…"
Business Process Delivery Analyst,Accenture,Kuala Lumpur,,4.0,Responsible for all reporting needs and 100% data accuracy. Responsible for all reporting and metric needs of the process with 100% data accuracy.
Senior Business Analyst,FEFIFO MALAYSIA SDN BHD,Kuala Lumpur,"RM 8,000 - RM 9,999 a month",,"Responsibilities and Duties: Project Management  Overall responsible to support PM in project updates, assessment and project management of deployments …"
Digital Marketer,INVOKE SOLUTIONS SDN BHD,Kuala Lumpur,,,"The long-term aim was to curate diverse young talents in data science, software engineering, creative arts, digital marketing and field deployment under one…"
Data Power / API Technical Analyst,SCIKEY,Kuala Lumpur,,,
"Director, APAC Travel",Bain & Company Inc,Kuala Lumpur,,,"Analytics: Ability to crunch numbers, extract insights, and home in on meaningful data trends and anomalies. The Director, Asia-Pacific Travel & Technology is a…"
O2C/OTC/ Accounts Receivable Analyst (Japanese Speaker),Ambition,Kuala Lumpur,"RM 5,000 - RM 7,500 a month",,"They are currently looking for multiple Account Receivable position across different specialisation, Cash App, Collection, credit assessment (Japanese Speaker)."
Master Data Analyst (Japanese Speaking) - Welcome Fresh Grad...,ASK Resources Sdn Bhd,,"RM 4,500 - RM 6,500 a month",,Execute all master data related service requests & inquiries under Operation team with quality and in timely manner meeting the agreed SLA and internal KPI.
MY Financial Advisory : M&A Transaction Services Intern,Deloitte,Kuala Lumpur,,4.0,"Experience working in other type of work / course-work / final year project related to economic analysis, econometrics, data analytics and financial analysis is…"
"FP&A Analyst, MFG Countries - Thailand",Ingredion,Kuala Lumpur,,,Assist the onsite FP&A counterpart by fulfilling any data requirements. Collaborate with the Thailand business stakeholders for data gathering and requirements…
Information Analyst,Starweb,Kuala Lumpur,,,"The position requires the candidate to possess strong analytical skills combined with data warehousing, data mining, structured query and report design &…"
SEA Security Analyst (SEA Risk Advisory),Deloitte,Kuala Lumpur,,4.0,"Responsible to monitor, analyse, triage, collect and document evidence/data as part of 24x7x365 security operations. Willingness to work in 24x7 shifts."
Augmented Insights Analyst,Accenture,Kuala Lumpur,,4.0,Build required data extracts required for solutions. Create interactive dashboards and visualizations leveraging on data visualization tools.
SOC & SIEM Engineer,Agensi Pekerjaan Nixan Mega (M) Sdn Bhd,,"RM 4,000 - RM 9,000 a month",,"Experience as an analyst, operations lead, incident responder or SOC manager in a Security Operations will be an added advantage. Temporarily due to COVID-19."
Cloud Metrics Analyst,Standard Chartered,Kuala Lumpur,,4.1,"Ensure all data and information are complete and including into the overall Cloud Workload Pipeline. Coordinate and ensure stats, data, info are correct through…"
"Senior Associate, Senior Application Analyst",Astro,Bukit Jalil,,4.0,Proactively highlight data irregularities & data cleansing required in SAP (e.g. cost ctr group not following design/naming convention).
